CF (Correct Answer)	Input	Similarity value
1|one	1	0
represents|describes|shows	[timeout]	-0.07480666
68	[timeout]	0
variance	variance	1
samples	[timeout]	-0.02774676
same	[timeout]	-0.04236013
normal	normal	1
variability	variability	1
mean|samplemean|average	normal	0.07992849
standarddeviation	standard deviation	0
distribution	[timeout]	-0.003612177
standarddeviation	standard deviation	0
equal	[timeout]	-0.001709098
standarddeviation	standard deviation	0
standarddeviation	standard deviation	0
characteristic	characteristic	1
standarddeviation	standard deviation	0
equal	equal	1
samples	samples	1
probability|likelihood|chance	observation	0.01996817
2	2	0
distribution	distribution	1
1|one	1	0
mean|samplemean|average	mean	0.6045831
1	1	0
variance	varence	0
variability	[timeout]	-0.1216482
normal	normal	1
participated	participated	1
expect	expect	1
same	same	1
normal	number	0.03425929
variability	difference	-0.02596842
variance	[timeout]	-0.03662752
normal	normal	1
units	method	0.04988226
variance	[timeout]	-0.03662752
distribution	statistic	0.05095213
distribution	distribution	1
samplemean|mean	mean	1
density	range	0.02520213
99.7	80	0
normal	norma	-0.02290304
3	3	0
distribution	distribution	1
units	units	1
normal	normal	1
distribution	distribution	1
variability	[timeout]	-0.1216482
density	densiy	0
density	density	1
variability	variability	1
99.7	99.7	0
distribution	distribution	1
samplemean|mean	mean	1
distribution	distribution	1
distribution	distribution'	1
range	range	1
involves|uses|includes|observes	samples	0.03105609
distribution	distribution	1
variability	variability	1
density	density	1
count	whole	-0.07723808
statistic	statistic	1
99.7	99.7	0
variability	density	0.1085139
squared	[timeout]	0.03092544
density	density	1
statistic	statistic	1
95	68	0
difference	difference	1
observations	numbers	-0.04742211
observations	variances	-0.01248936
squared	squared	1
normal	normal	1
subject|participant|participants	samples	-0.03589001
density	density	1
count	count	1
mean	mean	1
standarderror	normal	0
statistic	statistic	1
observations	observations	1
range	range	1
equal	equal	1
density	mean	-0.02488231
standarddeviation	standard deviation	0
individual|single	individual	0.8333944
mean|samplemean|average	mean	0.6045831
standarddeviation	standard deviation	0
density	[timeout]	0.007179775
subject|participant|participants	subject	0.9450604
observations	observation	0.5227399
normal	[timeout]	-0.007178908
involves|uses|includes|observes	involves	0.6161347
samplemean|mean	mean	1
same	same	1
variance	unit	0.06488631
standarddeviation	[timeout]	0
mean	mean	1
mean|samplemean|average	mean	0.6045831
represent|describe|sample	reflect	-0.01938083
normal	normal	1
range|set	range	0.7634179
observations	variance	0.07152727
normal	normal	1
mean	mean	1
rootmeansquarederror	[timeout]	0
probability	[timeout]	0.1245291
standarddeviation	[timeout]	0
describes|is|represents	is	0.3004219
observations	standard deviation	0.06244644
standarddeviation	[timeout]	0
represent|describe|sample	represent	0.5618359
normal	normal	1
normal	normal	1
difference	root	0.01133235
involves|uses|includes|observes	involves	0.6161347
normal	normal	1
describes|is|represents	is	0.3004219
observations	observations	1
mean|samplemean|average	mean	0.6045831
measure|represent|describe	represent	0.3973368
variance	variance	1
standarddeviation	standard deviatiob	0
variance	difference	0.02510126
samplemean|mean	mean	1
probability|likelihood|chance	probability	0.6468432
equal	equal	1
normal	normal	1
standarddeviation	standard deviation	0
squareroot	difference	0
mean	mean	1
mean|samplemean|average	mean	0.6045831
observations	variances	-0.01248936
probability	[timeout]	0.1245291
normal	normal	1
samplemean|mean	mean	1
involves|uses|includes|observes	involves	0.6161347
range|set	range	0.7634179
normal	normal	1
standarddeviation	standard deviation	0
same	same	1
difference	root	0.01133235
characteristic	[timeout]	-0.05124748
variance	variance	1
represent|describe|sample	represent	0.5618359
squared	greatest	0.176401
99.7	fifty	0
1|one	[timeout]	0.00668314
68	90	0
squared	[timeout]	0.03092544
squareroot	square	0
squared	squared	1
individual|single	many	-0.03161484
individual|single	individual	0.8333944
99.7	99.7	0
1|one	one	1
samplemean|mean	mean	1
squareroot	square root	0
symmetric	even	-0.02857477
squared	individual	0.02687482
squareroot	square root	0
99.7	99.7	0
likelihood|probability	probability	0.8752168
likelihood|probability	probability	0.8752168
squared	squared	1
squared	squared	1
sample	distribution	0.2488885
sample	sample	1
squared	squared	1
99.7	99.7	0
likelihood|probability	probability	0.8752168
likelihood|probability	probability	0.8752168
statistic	value	0.09144314
symmetric	symmetric	1
squared	squared	1
squareroot	square root	0
1|one	one	1
sum	average	0.09272732
squareroot	square root	0
68	68	0
observations	[timeout]	-0.119301
mean|samplemean|average	mean	0.6045831
expect	expect	1
divided	divided	1
sample	[timeout]	0.01504148
mean|samplemean|average	mean	0.6045831
describes|is|represents	describes	0.7441715
different|far|variable	different	0.6180547
participated	participate	0.2836498
count	count	1
same	[timeout]	-0.04236013
different|far|variable	different	0.6180547
variance	[timeout]	-0.03662752
squareroot	square root	0
68	68	0
involves|uses|includes|observes	uses	0.6675121
sample	sample	1
same	same	1
2	two	0
sum	sum	1
2	2	0
squareroot	square root	0
sample	sample	1
observations	values	-0.05607055
characteristic		NA
sum	sum	1
samplemean|mean	mean	1
sample	sample	1
individual|single	[timeout]	-0.04643578
95	90	0
rootmeansquarederror	[timeout]	0
variability	variance	0.09235277
likelihood|probability	probability	0.8752168
sum	sum	1
statistic	[timeout]	-0.02000074
normal	standard	0.02859854
subject|participant|participants	subject	0.9450604
standarddeviation	variability	0
probability	odds	0.1213205
population	sample	0.1951308
mean	mean	1
same	sample	0.06675031
sample	sample	1
describes|is|represents	describes	0.7441715
range|set	range	0.7634179
1	3	0
95	95	0
sample	sample	1
mean	mean	1
likelihood|probability	probability	0.8752168
population	population	1
variability	deviation	-0.07206514
sum	sum	1
individual|single	single	0.7024937
equal	equal	1
describes|is|represents	represents	0.6913312
subject|participant|participants	subject	0.9450604
same	same	1
standarddeviation	deviation	0
range|set	range	0.7634179
3	1	0
statistic	[timeout]	-0.02000074
rootmeansquarederror	squared mean root error	0
normal	standard	0.02859854
individual|single	much	-0.03224945
variance	variability	0.09235277
statistic	statistic	1
normal	standard	0.02859854
sum	sum	1
standarddeviation	variability	0
equal	equal	1
likelihood|probability	[timeout]	0.07016187
range|set	range	0.7634179
subject|participant|participants	subject	0.9450604
measure|represent|describe	[timeout]	-0.04530828
sample	sample	1
standarddeviation	standard deviation	0
normal	normal	1
represent|describe|sample	represent	0.5618359
95	95	0
describes|is|represents	describes	0.7441715
mean	mean	1
measure|represent|describe	[timeout]	-0.04530828
expect	[timeout]	0.06841187
rootmeansquarederror	variant	0
sample	variant	-0.05265828
rootmeansquarederror		NA
normal	standard	0.02859854
rootmeansquarederror		NA
observations	variances	-0.01248936
probability	variance	0.02452822
rootmeansquarederror		NA
mean	[timeout]	-0.03138116
sample	variant	-0.05265828
count	total	0.1454826
measure|represent|describe	complete	-0.05906179
count	count	1
symmetric	[timeout]	0.03159622
mean	root mean	0.674894
measure|represent|describe	complete	-0.05906179
sample	measurement	0.1288861
expect	believe	0.06617213
rootmeansquarederror	[timeout]	0
participated	participate	0.2836498
participated	participate	0.2836498
rootmeansquarederror	root mean squared error	0
participated	participated	1
sample	sample	1
symmetric	measured	-0.06990418
participated	participated	1
observations	measurements	0.3605257
rootmeansquarederror	root mean squared error	0
rootmeansquarederror	root mean squared error	0
measure|represent|describe	measure	0.7689974
1|one	[timeout]	0.00668314
probability	variane	0
different|far|variable	close	0.07515801
expect	measure	-0.01068558
normal	standard	0.02859854
measure|represent|describe	measure	0.7689974
observations	variances	-0.01248936
samples		NA
observations	samples	0.04512589
observations	observations	1
99.7	1	0
statistic	sample	0.1564132
measure|represent|describe	measure	0.7689974
measure|represent|describe	measure	0.7689974
variability	variance	0.09235277
observations	statistics	0.1044004
range|set	set	0.6705973
range|set	set	0.6705973
99.7	99.7	0
normal	normal	1
expect	expect	1
density	variance	0.03799563
range|set	set	0.6705973
normal	normal	1
different|far|variable	different	0.6180547
measure|represent|describe	measure	0.7689974
observation	sample	0.07037972
statistic	sample	0.1564132
different|far|variable	different	0.6180547
represent|describe|sample	represent	0.5618359
range	sample	0.1368643
68	99.7	0
likelihood|probability	variance	-0.05099383
count	rest	0.0279907
multiple|many	[timeout]	0.05981871
observation	sample	0.07037972
variance	mean	0.01016356
observations	different	0.01148855
3	1	0
variance	measurement	0.09638426
equal	[timeout]	-0.001709098
1|one	counts	0.01119997
represent|describe|sample	represent	0.5618359
2	1	0
range	1	0
expect	expect	1
subject|participant|participants	being	0.07460973
describes|is|represents	is	0.3004219
units	samples	0.05665969
observations	variants	0.01437395
observations	standards	0.1216977
1|one	1	0
3	3	0
observations	observations	1
same	same	1
2	2	0
different|far|variable	different	0.6180547
expect	expect	1
multiple|many	man	-0.04748603
68	68	0
subject|participant|participants	species	-0.04786712
describes|is|represents	is	0.3004219
observation	[timeout]	-0.1081844
standarddeviation		NA
count	count	1
squared	standard	0.06013192
equal	similar	0.01532995
variable|random	different	0.0874528
observations	differences	0.03624784
samples	samples	1
normal	standard	0.02859854
statistic	measurement	0.01237472
observations	samples	0.04512589
expect	expet	0
equal	equal	1
subject|participant|participants	subject	0.9450604
observation	samle	0
variance	measurement	0.09638426
standarddeviation		NA
3	3	0
observations	variances	-0.01248936
count	count	1
2	2	0
1|one	1	0
multiple|many	total	-0.07183604
observations	samples	0.04512589
same	total	0.04385491
3	1	0
count	sum	-0.01366364
measure|represent|describe	[timeout]	-0.04530828
range|set	range	0.7634179
3	1 and 3	0
sample	number	0.09094838
measure|represent|describe	measure	0.7689974
mean	range	0.04283211
sample	sample	1
individual|single	far	0.01204383
observation	numbwer	0
variance	average	0.02933031
observation	measure	0.1697079
multiple|many	far	-0.02193329
participated	participate	0.2836498
range|set	range	0.7634179
sample	sample	1
measure|represent|describe	measure	0.7689974
sample	sample	1
mean	sample	0.04083578
count	mean	0.1379665
range|set	set	0.6705973
observation	measure	0.1697079
measure|represent|describe	measure	0.7689974
measure|represent|describe	measure	0.7689974
measure|represent|describe	measure	0.7689974
individual|single	far	0.01204383
range|set	set	0.6705973
measure|represent|describe	measure	0.7689974
observation	observation	1
range|set	set	0.6705973
standarddeviation	deviation	0
variability	error	0.02980373
statistic	measure	0.05607052
mean	mean	1
expect	[timeout]	0.06841187
2	3	0
normal	mean	-0.1335391
samples	means	-0.1138509
range|set	set	0.6705973
observations	numbers	-0.04742211
standarddeviation	variance	0
95	3	0
expect	expect	1
variability	standard deviation	-0.06004029
normal	standard	0.02859854
variance	mean	0.01016356
multiple|many	many	0.5278553
observations	observations	1
individual|single	far	0.01204383
population	mean	0.09349147
range|set	set	0.6705973
mean	mean	1
represents|describes|shows	predicts	0.05016587
normal	normal	1
statistic	measure	0.05607052
normal	normal	1
variability	variance	0.09235277
statistic	statistic	1
standarderror	standard error	0
squareroot	mean	0
range|set	set	0.6705973
samplemean|mean	mean	1
standarddeviation	variance	0
count	amount	0.1718728
symmetric	[timeout]	0.03159622
multiple|many	many	0.5278553
standarddeviation	standard deviation	0
measure|represent|describe	measure	0.7689974
represent|describe|sample	describe	0.6454903
involves|uses|includes|observes	measures	0.04440117
mean	mean	1
standarddeviation	square mean	0
3	3	0
mean	mean	1
1	1	0
observation	measure	0.1697079
statistic	measure	0.05607052
likelihood|probability	number	0.1538061
variance	[timeout]	-0.03662752
sample	number	0.09094838
95	fifty	0
mean	mean	1
represent|describe|sample	describe	0.6454903
dividing	dividing	1
1	3	0
likelihood|probability	liklihood	0
standarddeviation	variance	0
range	range	1
count	count	1
multiple|many	many	0.5278553
squareroot	mean	0
3	[timeout]	0
sample	sample	1
measure|represent|describe	[timeout]	-0.04530828
probability	liklihood	0
involves|uses|includes|observes	involves	0.6161347
mean	mean	1
represents|describes|shows	measures	0.0535334
observation	[timeout]	-0.1081844
mean	mean	1
distribution	variance	0.1301108
multiple|many	many	0.5278553
3	3	0
observation	observation	1
count	count	1
sample	sample	1
statistic	statistic	1
standarddeviation	standrd deviation	0
1	1	0
samplemean|mean	mean	1
measure|represent|describe	describe	0.5806054
normal	normal	1
sample	sample	1
variable|random	individual	0.1467738
mean	mean	1
symmetric	symmetric	1
sample	sample	1
observations		NA
1|one	more	0.1291417
samplemean|mean	mean	1
likelihood|probability	range	0.0691823
difference	root	0.01133235
statistic	percentage	0.1637119
count	average	0.1770293
1|one	half	0.1417876
statistic	number	0.1059846
observations	change	-0.06331724
range|set	set	0.6705973
represents|describes|shows	[timeout]	-0.07480666
squared	main	0.01509974
observation	number	-0.03250933
represent|describe|sample	represent	0.5618359
standarderror	sample	0
statistic	observation	0.05970104
1|one	1	0
variance	statistic	0.2755168
standarderror	variances	0
statistic	statistic	1
3	3	0
variability	error	0.02980373
range|set	set	0.6705973
variance	statistic	0.2755168
represents|describes|shows	represents	0.4684053
99.7	97.7	0
distribution	variance	0.1301108
represents|describes|shows	represents	0.4684053
1|one	1	0
normal	mean	-0.1335391
count	sample	0.02944462
1|one	1	0
observations	numbers	-0.04742211
range|set	set	0.6705973
2	3	0
1	1	0
1|one	1	0
count		NA
2	2	0
measure|represent|describe	calculate	0.1928894
2	2	0
likelihood|probability	rate	0.03701581
1	1	0
mean	sum	0.06994807
standarddeviation	mean	0
2	2	0
2	2	0
1|one	1	0
mean	[timeout]	-0.03138116
1	1	0
rootmeansquarederror	mean	0
likelihood|probability	range	0.0691823
participated	participate	0.2836498
count	sum	-0.01366364
mean	mean	1
1|one	1	0
2	2	0
2	2	0
mean	average	-0.04520679
observations	change	-0.06331724
1	1	0
measure|represent|describe	count	0.2355935
rootmeansquarederror	mean	0
participated	participate	0.2836498
multiple|many	dean	-0.03329748
represents|describes|shows	note	0.2281453
participated	participate	0.2836498
equal	[timeout]	-0.001709098
represent|describe|sample	represent	0.5618359
sum	average	0.09272732
mean	top	-0.0280927
variability	mean	0.01187339
variance	start	0.06886595
range	set	0.03279982
range|set	range	0.7634179
units	set	0.01748058
characteristic	type	0.1010229
observation	number	-0.03250933
2	3	0
standarddeviation	number	0
1|one	1	0
1	1	0
mean	mean	1
1	1.	0
variability	variance	0.09235277
statistic	number	0.1059846
1|one	1	0
99.7	97.7	0
participated	participate	0.2836498
squareroot	number	0
sum	total	0.2582886
observation	variable	-0.01528538
variance	sum	0.1221402
statistic	variance	0.2755168
multiple|many	most	0.1346738
equal	sum	0.2015138
2	2	0
units	sum	0.0328852
range|set	unit	-0.03042317
represent|describe|sample	represent	0.5618359
statistic	unit	0.03421596
units	statistic	-0.03121487
equal	range	-0.1183601
mean	mean	1
variance	sum	0.1221402
observation	variance	0.02288393
participated	participate	0.2836498
range|set	mean	0.02916891
multiple|many	sum	0.08110054
1|one	1	0
1	1	0
samples	units	0.05665969
variance	sum	0.1221402
represents|describes|shows	represents	0.4684053
2	2	0
99.7	99.7	0
characteristic	range	0.07808504
divided	minus	0.0884234
multiple|many	[timeout]	0.05981871
standarderror	[timeout]	0
variance	result	0.03652822
normal	normal	1
variability	[timeout]	-0.1216482
squared	[timeout]	0.03092544
standarddeviation	standard deviation	0
distribution	variance	0.1301108
observations	deviation	0.09633775
standarddeviation	deviation	0
samplemean|mean	standard divation	0.1019602
involves|uses|includes|observes	observes	0.3778835
multiple|many	variable	-0.0367156
variance	variance	1
different|far|variable	standard divance	0.03923552
observations	sample	0.1389508
observations	sample	0.1389508
range	range	1
standarddeviation	standard variance	0
standarddeviation	variance	0
68	68	0
difference	[timeout]	0.04116857
expect	observe	0.07085706
variance	deviation	9.478002E-05
observations	samples	0.04512589
mean	samples	-0.04379516
standarddeviation	standard deviation	0
observations	observation	0.5227399
variance	variance	1
mean	mean	1
involves|uses|includes|observes	observes	0.3778835
range	range	1
density	sample	0.2148673
variability	variance	0.09235277
normal	variance	-0.05224375
variance	variance	1
density	sample	0.2148673
samples	samples	1
statistic	variance	0.2755168
samples	statistic	-0.00156282
mean|samplemean|average	mean	0.6045831
density	density	1
density	density	1
normal	normal	1
involves|uses|includes|observes	observes	0.3778835
samples	samples	1
samples	samples	1
density	range	0.02520213
normal	noraml	0
statistic	statistic	1
density	density	1
statistic	statistic	1
variance	variance	1
statistic	statistic	1
normal	normal	1
observations	mean	0.059784
mean|samplemean|average	mean	0.6045831
density	density	1
normal	normal	1
variance	variance	1
involves|uses|includes|observes	observe	0.02129745
density	density	1
observations	observation	0.5227399
samples	samples	1
statistic	statistic	1
equal	mean	0.08831283
rootmeansquarederror	root mean squared error	0
distribution	sample	0.2488885
mean	mean	1
normal	normal	1
involves|uses|includes|observes	observe	0.02129745
range	range	1
mean|samplemean|average	mean	0.6045831
variance	[timeout]	-0.03662752
represents|describes|shows	range	0.02892319
sample	sample	1
statistic	statistic	1
density	density	1
same	sample	0.06675031
normal	normal	1
standarderror	variance	0
measure|represent|describe	measure	0.7689974
samples	samples	1
mean|samplemean|average	mean	0.6045831
variance	variance	1
involves|uses|includes|observes	observe	0.02129745
1|one	1	0
different|far|variable	close	0.07515801
density	density	1
statistic	statistic	1
range	range	1
normal	normal	1
normal	normal	1
squareroot	square root	0
standarderror	variance	0
statistic	measure	0.05607052
statistic	statistic	1
equal	mean	0.08831283
distribution	sample	0.2488885
mean|samplemean|average	mean	0.6045831
sample	sample	1
3	3	0
involves|uses|includes|observes	observes	0.3778835
squareroot	root square	0
measure|represent|describe	measure	0.7689974
variability	variance	0.09235277
normal	normal	1
equal	equal	1
statistic	statistic	1
normal	normal	1
variance	sample	0.2941584
samples	samples	1
statistic	statistic	1
individual|single	individual	0.8333944
observations	different	0.01148855
distribution	variance	0.1301108
density	density	1
expect		NA
observations	[timeout]	-0.119301
rootmeansquarederror	[timeout]	0
count	average	0.1770293
population	statistic	0.1401468
range|set	range	0.7634179
mean	mean	1
normal	standard	0.02859854
1|one		NA
expect	expect	1
1|one	1	0
rootmeansquarederror	root mean squared error	0
rootmeansquarederror	[timeout]	0
1|one	1	0
observations	[timeout]	-0.119301
population	population	1
rootmeansquarederror	root mean squared error	0
1|one	1	0
mean	mean	1
1|one	1	0
observations	[timeout]	-0.119301
count	count	1
normal	normal	1
1|one	1	0
mean	observations	0.059784
mean	mean	1
observations	observations	1
1|one	1	0
1|one	1	0
mean	mean	1
normal	normal	1
probability|likelihood|chance	variability	0.08281594
range|set	range	0.7634179
involves|uses|includes|observes	has	-0.01483579
normal	normal	1
normal	normal	1
mean	mean	1
mean	mean	1
normal	normal	1
normal	normal	1
standarddeviation	variability	0
mean	mean	1
1	0, 1	0
3	1	0
sample	sample	1
multiple|many	multiple	0.8556041
mean	mean	1
measure|represent|describe	expect	-0.05947712
1	1	0
measure|represent|describe	measure	0.7689974
standarddeviation	standard deviation	0
standarddeviation	standard deviation	0
subject|participant|participants	subject	0.9450604
range|set	range	0.7634179
observation	[timeout]	-0.1081844
sample	sample	1
mean	mean	1
multiple|many	multiple	0.8556041
variability	variability	1
normal	normal	1
multiple|many	multiple	0.8556041
1	1	0
equal	equal	1
sample	sample	1
mean	mean	1
observation	observation	1
count	count	1
range	range	1
mean	mean	1
population	population	1
same	same	1
99.7	99.7	0
likelihood|probability	probability	0.8752168
standarderror	standard error	0
characteristic	[timeout]	-0.05124748
represents|describes|shows	[timeout]	-0.07480666
variability	distribution	0.01659191
1|one	1	0
rootmeansquarederror	root mean squared error	0
characteristic	[timeout]	-0.05124748
sample	sample	1
rootmeansquarederror	root mean squared error	0
population	population	1
statistic	statistic	1
distribution	normal distribution	0.7716045
equal	equal	1
count	count	1
1|one	1	0
individual|single	single	0.7024937
1	1	0
mean	mean	1
observation	observation	1
range	range	1
mean	mean	1
standarddeviation	same	0
normal	normal	1
variability	variability	1
individual|single	single	0.7024937
same	same	1
rootmeansquarederror	root mean squared error	0
normal	normal	1
sample	sample	1
standarddeviation	standard deviation	0
characteristic	characteristic	1
mean	mean	1
count	count	1
statistic	statistic	1
range	range	1
mean	mean	1
1	1	0
1|one	1	0
population	population	1
likelihood|probability	probability	0.8752168
observation	observation	1
equal	equal	1
expect	[timeout]	0.06841187
variance	average	0.02933031
describes|is|represents		NA
involves|uses|includes|observes	involves	0.6161347
standarddeviation	final	0
count	sum	-0.01366364
2	two	0
standarddeviation	standard-deviation	0
statistic	[timeout]	-0.02000074
sample	statistic	0.1564132
involves|uses|includes|observes	involves	0.6161347
observations	samples	0.04512589
characteristic	[timeout]	-0.05124748
variance	[timeout]	-0.03662752
represents|describes|shows	shows	0.8075404
represents|describes|shows	shows	0.8075404
units	units	1
observations	observations	1
measure|represent|describe	sample	0.1154299
variance	standard deviation	0.04290871
mean	mean	1
1|one	squared	0.01342906
sum	sum	1
range	set	0.03279982
measure|represent|describe	measure	0.7689974
same	same	1
units	units	1
difference	root	0.01133235
observations	[timeout]	-0.119301
dividing	dividing	1
observations	deviance	-0.00151505
sum	sum	1
variability	distribuion	0
probability|likelihood|chance	chance	0.6998413
observations	observations	1
observations	variability	0.1464305
probability|likelihood|chance	chance	0.6998413
observations	observations	1
variability	range	0.07581243
mean	mean	1
probability|likelihood|chance	chance	0.6998413
observations	observations	1
probability|likelihood|chance	chance	0.6998413
observations	observations	1
variance	mean	0.01016356
probability	chance	0.03151365
represent|describe|sample	represent	0.5618359
represent|describe|sample	represent	0.5618359
range	range	1
mean	mean	1
observations	observations	1
variability	range	0.07581243
observations	observations	1
observations	observations	1
variability	variability	1
observations	observations	1
variance	variance	1
mean	mean	1
observations	observations	1
observations	observations	1
sample	sample	1
probability|likelihood|chance	chance	0.6998413
divided	divided	1
measure|represent|describe	describe	0.5806054
range	range	1
represents|describes|shows	measuress	0
variance	variance	1
mean	mean	1
observations	observations	1
sample	sample	1
normal	standard	0.02859854
3	3	0
standarderror	[timeout]	0
variability	variability	1
samples	observations	0.04512589
1|one	[timeout]	0.00668314
variance	standard deviation	0.04290871
symmetric	[timeout]	0.03159622
probability|likelihood|chance	probability	0.6468432
normal	normal	1
observations	observations	1
population	sample	0.1951308
variability	range	0.07581243
different|far|variable	far	0.4117256
variance	variance	1
normal	normal	1
standarderror	standard error	0
range	range	1
sample	sample	1
divided	divided	1
statistic	statistic	1
1|one	1	0
measure|represent|describe	describe	0.5806054
represents|describes|shows	shows	0.8075404
normal	normal	1
variance	variance	1
population	population	1
1|one	1	0
variance	variance	1
range	range	1
3	3	0
variability	range	0.07581243
standarderror	standard error	0
normal	normal	1
describes|is|represents	describes	0.7441715
measure|represent|describe	describe	0.5806054
represents|describes|shows	shows	0.8075404
probability|likelihood|chance	probability	0.6468432
variability	variability	1
divided	divided	1
observations	observations	1
sample	sample	1
squared	squared	1
symmetric	symmetric	1
dividing	[timeout]	-0.06684689
standarderror	[timeout]	0
variance	mean	0.01016356
same	variant	0.01339063
variance	[timeout]	-0.03662752
dividing	dividing	1
mean	mean	1
represents|describes|shows	predicts	0.05016587
same	same	1
variance	mean	0.01016356
probability|likelihood|chance	probability	0.6468432
variability	ranges	-0.03081719
probability|likelihood|chance	probability	0.6468432
dividing	dividing	1
represent|describe|sample	represent	0.5618359
dividing	dividing	1
sample	sample	1
variance	variance	1
variance	variance	1
standarderror	standard error	0
squared	[timeout]	0.03092544
sample	sample	1
same	same	1
sample	sample	1
dividing	dividing	1
variance	[timeout]	-0.03662752
dividing	dividing	1
represents|describes|shows	represents	0.4684053
statistic	variance	0.2755168
normal	standard	0.02859854
distribution	prediction	0.0902702
standarderror	standard error	0
variance	variance	1
range	normal	0.005960651
observations	[timeout]	-0.119301
normal	normal	1
different|far|variable	different	0.6180547
mean	mean	1
range	range	1
likelihood|probability	likelihood	0.4928042
variance	variance	1
characteristic	observation	0.0789936
95	68	0
standarderror	standard error	0
variance	variance	1
normal	normal	1
variance	variance	1
range	range	1
distribution	sample	0.2488885
2	1	0
variance	variance	1
normal	normal	1
difference	difference	1
normal	normal	1
observations	something	-0.06397529
symmetric	symmetric	1
sample	sample	1
variability	standard deviation	-0.06004029
1	1	0
variability	characterics	0.06058622
probability|likelihood|chance	likelihood	0.3508941
standarddeviation	standard deviation	0
represents|describes|shows	represents	0.4684053
observations	[timeout]	-0.119301
normal	normal	1
units	units	1
range	range	1
characteristic	range	0.07808504
subject|participant|participants	subjects	0.6036775
standarddeviation	standard deviation	0
variance	mean	0.01016356
divided	dividing	0.2106339
difference	root	0.01133235
normal	normal	1
different|far|variable	distant	0.05124305
population	set	-0.005120893
variance	mean	0.01016356
range	range	1
range	range	1
characteristic	characteristic	1
divided	divided	1
samples	samples	1
range	range	1
units	units	1
standarddeviation	standard deviation	0
68	95	0
difference	[timeout]	0.04116857
involves|uses|includes|observes	involves	0.6161347
observations	observations	1
variance	variance	1
represents|describes|shows	represents	0.4684053
variability	variance	0.09235277
observations	numbers	-0.04742211
probability|likelihood|chance	likelihood	0.3508941
normal	normal	1
sample	set	0.05641246
probability|likelihood|chance	likelihood	0.3508941
normal	normal	1
difference	variance	0.02510126
observations	observations	1
range	range	1
characteristic	characteristic	1
represents|describes|shows	represents	0.4684053
variance	variance	1
measure|represent|describe	interpret	0.1040723
individual|single	different	0.1370365
mean	mean	1
sample	number	0.09094838
normal	normal	1
samples	sets	0.0677112
divided	divided	1
participated	participate	0.2836498
observations	observations	1
range	range	1
normal	[timeout]	-0.007178908
variance	[timeout]	-0.03662752
equal	[timeout]	-0.001709098
density	[timeout]	0.007179775
statistic	variable	0.1429316
normal	[timeout]	-0.007178908
statistic	[timeout]	-0.02000074
samplemean|mean	mean	1
samplemean|mean	mean	1
samples		NA
standarddeviation	variable	0
mean|samplemean|average	statistic	0.1565068
normal	mean	-0.1335391
samples	standard deviation	0.1507952
symmetric	normal	-0.03673305
samplemean|mean	mean	1
variance	statistic	0.2755168
normal	standard	0.02859854
probability		NA
samplemean|mean	mean	1
variance	normal	-0.05224375
standarddeviation	variance	0
samples	samples	1
density		NA
variance	variance	1
symmetric	[timeout]	0.03159622
same	standard	0.03109268
samplemean|mean	statistic	0.07658154
samplemean|mean	mean	1
samples	sample	0.5131983
probability	probability	1
likelihood|probability	variance	-0.05099383
samples	samples	1
distribution	statistic	0.05095213
individual|single	[timeout]	-0.04643578
individual|single	normal	0.001248968
2	same	0
standarddeviation	sample	0
sample	sample	1
likelihood|probability	probability	0.8752168
symmetric	standard error	0.01991371
measure|represent|describe	[timeout]	-0.04530828
mean	sample	0.04083578
standarderror	[timeout]	0
samples	samples	1
2	2	0
range|set	proability	0
range	standard devation	0.1185603
probability	[timeout]	0.1245291
standarddeviation	[timeout]	0
mean	[timeout]	-0.03138116
range	[timeout]	0.003927464
standarddeviation	[timeout]	0
standarddeviation	[timeout]	0
samples	samples	1
individual|single	[timeout]	-0.04643578
equal	[timeout]	-0.001709098
samples	[timeout]	-0.02774676
multiple|many	[timeout]	0.05981871
normal	sample	-0.0742522
standarddeviation	[timeout]	0
dividing	samples	-0.07052323
observations	standard deviation	0.06244644
difference	symmetric	-0.01047373
normal	mean	-0.1335391
standarddeviation	statistics	0
participated	samples	-0.1458018
normal	standard	0.02859854
expect	normal	-0.03755359
2	2	0
variability	statistics	0.3003967
count	sample mean	0.1116952
range|set	normal	-0.00309636
samples	samples	1
range	mean	0.04283211
standarddeviation	sample	0
standarddeviation	sample mean	0
units	samples	0.05665969
statistic	statistic	1
probability|likelihood|chance	[timeout]	0.04769977
divided	divided	1
units	units	1
99.7	symmetric	0
subject|participant|participants	samples	-0.03589001
squared	[timeout]	0.03092544
statistic	statistic	1
samples	samples	1
variability	standard diveation	-0.04570705
standarddeviation	statistics	0
normal	normal	1
range	difference	0.02140272
standarddeviation	sample	0
statistic	statistic	1
likelihood|probability	samples	0.05973122
dividing	likelyhood	0
standarddeviation	standard diveation	0
normal	standard	0.02859854
95	99.7	0
1|one	dividing	0.05402502
standarddeviation	sample	0
units	samples	0.05665969
normal	normal	1
observation	statistic	0.05970104
likelihood|probability	samples	0.05973122
standarddeviation	statistic	0
statistic	variable	0.1429316
variability	variable	0.03123786
mean	sample	0.04083578
statistic	statistic	1
sample	sample	1
divided	[timeout]	0.09514323
normal	normal	1
samples	samples	1
3	2	0
standarddeviation	standard deviation	0
characteristic	variable	0.06214532
characteristic	characteristic	1
sample	dont know	-0.00512256
